ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Brok Boys,,,http://www.brokboys.com/,,,,,,Clothing,,,"Brok Boys makes women’s, men’s and children’s clothing primarily from ultra-soft bamboo in BC. They also use TENCEL in a few products but the vast majority of their line appears to be bamboo."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Northern Watters Knitwear & Tartan Shop,,,https://nwknitwear.com,,,,,,Wool knitwear,,,"These folks are proudly old school, declaring themselves proud to be “about a hundred years behind the rest”. By this they mean that they aren’t about cutting costs and improving efficiency, which often means offshoring production to low-wage sweatshops on the other side of the world."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Simba Sleep,,,https://click.linksynergy.com/fs-bin/click?id=*NawnzHXNc8&offerid=922586.13&type=3&subid=0,,,,,,Mattresses,,,"Simba Sleep is a London, UK based mattress company, that makes their products for the Canadian market in Toronto. They use British steel for the springs in some of their models but source the rest of their materials locally."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Cliffside Hearth Bread Company,,,https://www.cliffsidehearth.com/,,,,,,,,,"Cliffiside Hearth began as a backyard community oven, selling bread to their neighbours in 2005. Now, and for the past ten years, they have been baking small batch bread from scratch. Their menu includes a large variety of breads, pastries, pizzas, and sweets. I have yet to have the opportunity to try them, but I love a good brioche or sourdough, not to mention cinnamon buns (as seen below). Delicious!"
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,SKRP,,,https://skrap.ca/,,,,,,"Sunglasses, wallets, watches (and other things) made from recycled snowboards and skateboards",,,"I never would have imagined that this is a thing, but it is. SKRP recycles skateboards and snowboards from across Canada and the USA and turns them into sunglasses, watches, chessboards, cutting boards, coasters and other things. It’s really quite impressive."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,PowerStick.com,,,http://powerstick.com/main,,,,,,"Branded technology products (Portable chargers, speakers, etc)",,,"PowerStick.com is a manufacturer of products for the promotional industry, and they are making some tech products that you very rarely see made in Canada."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Maple Proud,,,http://www.mapleproud.ca/,,,,,,"Apparel, bedding, artwork & more",,,"Maple Proud makes unique casual apparel for men and women, designed by Royal Canadian Geographical Society Explorer-in-Residence Jill Heinerth. Inspired by Jill’s exploration above, below and inside Canada’s grand landscapes. You’ll find casual clothing, Yoga pants, scarves, beanies, toques, shirts and blouses, underwear, and even some wall art and notebooks with Jill’s original designs."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Lea Wood Company,,,http://leawoodcompany.ca/,,,,,,"Wood furniture, serving boards",,,"Over in the Hammer, Lea Wood Company is making some stunning wood furniture pieces – both for stock and made to order custom work. These are the type of pieces that will stay in your family for generations, so don’t be surprised that these aren’t Ikea prices."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Canoes/Kayaks: Paluski Boats 🍁,,,https://paluskiboats.com/,,,,,,"Canoes, kayaks & paddles",,,"Paluski Boats has been making canoes, kayaks and paddles since 1980.  Founded by Graham Wilkins, a former member of Canada’s national rowing team, they take pride in purchasing their raw materials and components only from Canadian suppliers. They are so confident in the quality of their products, they provide a limited lifetime warranty."
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,The Little Shop Box,,,https://shareasale.com/r.cfm?b=1747642&u=1831463&m=108984&urllink=&afftrack=,,,,,,Subscription box featuring products from Canadian small businesses and artisans,,,You’ve probably heard of subscription boxes covering everything from beauty products to socks to tech gizmos. How about one that supports Canadian business? The Little Shop Box features locally-sourced luxuries strictly from Canadian small businesses and artisans.
Made in Canada,11/10/2021,2021,https://madeinca.ca/blog,DM,Sproud North America Inc.,,,https://besproud.com/,,,,,,Plant-based milk alternative,,,"As you are likely aware, there’s a lot of alternatives available to dairy-based milk – such as almond, oat, soy, and others. Sproud is made from Canadian-grown peas, and purports to be more environmentally friendly than all competitive milks."
